1	John	3000.0
2	Mike	4500.0
3	Thompson	5000.0
4	Tom	4000.0
5	Kent	3500.0
6	Pope	2800.0
7	Larry	4800.0
8	Jerry	2500.0
9	Jason	4000.0
10	Luffy	3800.0
11	Loid	2500.0
12	Puffy	5000.0
1	John	5000.0
2	Mike	5500.0
3	Thompson	5000.0
4	Tom	3000.0
5	Kent	5500.0
6	Pope	6800.0
7	Larry	4800.0
8	Jerry	3500.0
9	Jason	4000.0
10	Luffy	6800.0
11	Loid	5500.0
12	Puffy	3000.0
1	John	4000.0
2	Mike	5500.0
3	Thompson	5000.0
4	Tom	5000.0
5	Kent	3500.0
6	Pope	4800.0
7	Larry	3800.0
8	Jerry	4500.0
9	Jason	5000.0
10	Luffy	4800.0
11	Loid	5500.0
12	Puffy	5000.0
1	John	6000.0
2	Mike	4500.0
3	Thompson	6000.0
4	Tom	5000.0
5	Kent	3500.0
6	Pope	3800.0
7	Larry	3800.0
8	Jerry	3500.0
9	Jason	5000.0
10	Luffy	4800.0
11	Loid	4500.0
12	Puffy	6000.0
